Date,All in Dublin,3-bed semi-detached houses > 95sqm < €550K in South Dublin,Such houses in Dublin 16,Average price
2023-03-02,3650,106,23,519693
2023-03-03,3656,107,23,519693
2023-03-05,3660,107,23,519693
2023-03-06,3643,111,24,518665
2023-03-07,3657,112,24,518665
2023-03-09,3693,117,23,518174
2023-03-11,3695,117,24,518875
2023-03-12,3696,117,24,518875
2023-03-13,3681,117,23,517522
2023-03-14,3685,117,21,520476
2023-03-15,3662,118,21,520476
2023-03-17,3699,121,21,520476
2023-03-18,3698,121,21,520476
2023-03-19,3695,121,21,520476
2023-03-20,3695,121,21,520476
2023-03-21,3692,118,21,526667
2023-03-22,3666,117,21,526667
2023-03-23,3684,115,20,526750
2023-03-24,3711,115,19,526842
2023-03-26,3722,115,19,526842
2023-03-27,3725,115,19,526842
